user,time,daily_usd_volume,cumulative_usd_volume,trade_count,liquidation_notional
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-20,63165260.16067779,139105237.7236664,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-21,44791121.0452518,183896358.76891822,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-22,48220700.2548853,232117059.0238035,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-23,40913047.941108085,273030106.9649116,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-24,24330294.03605572,297360401.0009673,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-25,52803877.85460234,350164278.85556966,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-02-27,51739355.23201735,401903634.087587,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-12-29,47270370.02702494,449174004.1146119,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2024-12-30,132046088.81645815,581220092.9310701,,
0x22c73ee08e924b3d7ed581f9f7e32f89a0a8ad9b,2025-01-17,181576586.74555635,762796679.6766264,,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-02-28,64247167.96181077,64247167.96181077,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-17,34681176.09168839,98928344.05349916,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-18,69250020.13606223,168178364.1895614,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-19,128586884.22140671,296765248.4109681,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-20,97098631.8435255,393863880.2544936,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-21,58322638.22950211,452186518.48399574,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-22,62226611.669095494,514413130.1530912,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-23,28171031.411222678,542584161.5643139,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-24,30439899.34573959,573024060.9100535,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-25,34203563.81147449,607227624.7215279,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-03-27,44379346.97683479,651606971.6983627,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-04-18,47614792.523694426,699221764.2220572,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-04-19,60361430.846753746,759583195.0688109,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-04-25,27701612.051978398,787284807.1207893,85809542.0,
0x25bdd0a95d95319033360a2989219c697fc8a7d9,2024-05-01,52014660.75843545,839299467.8792248,85809542.0,
0x2afe745dfd735e24aae8ac39969140dd0511496b,2024-12-14,79139992.51624687,79139992.51624687,12845181.0,
0x2afe745dfd735e24aae8ac39969140dd0511496b,2024-12-15,85511794.13854803,164651786.6547949,12845181.0,
0x2afe745dfd735e24aae8ac39969140dd0511496b,2024-12-17,136449711.61968955,301101498.27448446,12845181.0,
0x2afe745dfd735e24aae8ac39969140dd0511496b,2024-12-21,155705330.14974168,456806828.42422616,12845181.0,
0x2afe745dfd735e24aae8ac39969140dd0511496b,2024-12-22,122521570.79454556,579328399.2187717,12845181.0,
0x2afe745dfd735e24aae8ac39969140dd0511496b,2024-12-23,138524181.35421613,717852580.5729878,12845181.0,
0x2beb91c23ae04dc865854b5f6037f0b6eb3a0428,2024-12-20,271983585.82908523,271983585.82908523,,
0x2beb91c23ae04dc865854b5f6037f0b6eb3a0428,2024-12-21,189125591.79787654,461109177.62696177,,
0x2beb91c23ae04dc865854b5f6037f0b6eb3a0428,2024-12-22,125784267.46864666,586893445.0956085,,
0x2beb91c23ae04dc865854b5f6037f0b6eb3a0428,2024-12-30,244192781.9852291,831086227.0808375,,
0x2beb91c23ae04dc865854b5f6037f0b6eb3a0428,2024-12-31,239757266.00394186,1070843493.0847794,,
0x2beb91c23ae04dc865854b5f6037f0b6eb3a0428,2025-01-01,62577428.82440856,1133420921.909188,,
